id	spec	islit	j0_s	j0_i	shift
0	obj1003_bcrx	390.0	336	252	84
1	obj1007_bcrx	388.0	325	243	82
2	obj1010_bcrx	388.0	327	245	82
3	obj1015_bcrx	390.5	335	259	76
4	obj1018_bcrx	390.5	336	252	84
5	spm112_bcrx	257.0	316	274	42
6	spm116_bcrx	262.0	318	273	45
7	spm119_bcrx	265.0	317	271	46
8	spm122_bcrx	267.0	321	274	47
9	spm125_bcrx	268.5	314	266	48
10	spm130_bcrx	272.5	325	271	54
11	spm135_bcrx	277.5	313	260	53
12	spm224_bcrx	294.5	329	264	65
13	spm230_bcrx	294.5	250	190	60
14	spm329_bcrx	273.0	321	266	55
15	spm112-2_bcrx	531.0	509	589	-80
16	spm018-bcrx	505.0	508	518	-10
17	spm020-bcrx	483.0	529	502	27
18	spm023-bcrx	500.0	533	492	41
19	spm0031o_bcrx	485.0	331	451	-120
20	spm0037o_bcrx	484.0	325	443	-118
21	spm0043o_bcrx	481.0	324	446	-122
22	spm0049o_bcrx	480.0	324	448	-124
23	spm0057o_bcrx	474.0	330	450	-120
24	spm0110o_bcrx	490.5	414	537	-123
25	spm0116o_bcrx	485.5	425	541	-116
26	spm0124o_bcrx	476.0	419	543	-124
27	spm0173o_bcrx	492.0	412	536	-124
28	spm0179o_bcrx	489.5	410	527	-117
29	spm0186o_bcrx	515.5	398	523	-125
