# label	mx	my	TooBig	Compact	Shadow	fillfac	aspect	contrast	skip?
1	4	4	False	True	False	0.875	1.000	8.727	 
2	4	4	False	False	False	0.750	1.000	15.021	 
3	4	4	False	True	False	0.875	1.000	94.482	 
4	4	4	False	True	False	0.875	1.000	79.675	 
5	4	4	False	False	False	0.688	1.000	29.801	 
6	4	4	False	True	False	0.812	1.000	39.744	 
7	4	4	False	True	False	0.875	1.000	8.792	 
8	5	4	False	False	False	0.750	1.250	308.941	 
9	4	4	False	True	False	0.875	1.000	11.425	 
10	4	4	False	True	True	0.875	1.000	-7.285	*
11	4	4	False	True	True	0.875	1.000	-69.041	*
12	5	4	False	False	False	0.750	1.250	59.742	 
13	6	6	True	True	False	0.833	1.000	31.317	*
14	8	8	True	False	False	0.703	1.000	30.791	 
15	4	4	False	True	False	0.938	1.000	3.532	 
16	4	4	False	True	False	0.938	1.000	10.305	 
17	4	4	False	True	False	0.875	1.000	8.878	 
18	4	4	False	False	True	0.750	1.000	-24.242	*
19	4	4	False	True	False	0.812	1.000	5.411	 
20	5	5	False	False	True	0.720	1.000	-65.345	*
21	4	4	False	True	True	0.875	1.000	-15.102	*
22	4	5	False	True	False	0.800	1.250	11.339	 
23	5	4	False	True	False	0.800	1.250	33.218	 
24	4	4	False	True	True	0.875	1.000	-3.280	*
25	4	4	False	False	False	0.688	1.000	21.281	 
26	3	4	False	False	False	0.667	1.333	20.447	 
27	4	4	False	True	False	0.812	1.000	22.487	 
28	5	5	False	False	False	0.720	1.000	12.803	 
29	5	5	False	False	True	0.600	1.000	-21.547	*
30	4	4	False	False	False	0.750	1.000	11.149	 
31	4	4	False	True	False	0.875	1.000	8.116	 
32	4	4	False	True	False	0.875	1.000	52.857	 
33	4	4	False	True	False	0.938	1.000	14.770	 
34	4	4	False	True	False	0.875	1.000	12.153	 
35	5	5	False	False	True	0.680	1.000	-26.049	*
36	4	4	False	True	False	0.812	1.000	11.248	 
37	4	4	False	True	True	0.875	1.000	-18.476	*
38	5	4	False	False	True	0.750	1.250	-46.962	*
39	5	4	False	False	False	0.750	1.250	23.871	 
40	4	4	False	True	True	0.875	1.000	-125.452	*
41	4	4	False	True	False	0.938	1.000	13.846	 
