A4             0.00  0.00  0.00  0.00  1.00 indef.                 IV
A12            0.00  0.11  0.67  0.22  0.00 IIbD                   IIb
A18            0.98  0.02  0.00  0.00  0.00 ID                     I
A20            0.00  0.78  0.16  0.06  0.00 (I/IIa)D*              IIa
A24            1.00  0.00  0.00  0.00  0.00 indef.                 I
A35            0.75  0.25  0.00  0.00  0.00 indef.                 I
A50            0.00  0.00  0.00  0.00  1.00 IIaC                   IV
A65            0.00  1.00  0.00  0.00  0.00 IIaF                   IIa
A70            0.00  0.00  0.00  1.00  0.00 IIaE                   III
A71            1.00  0.00  0.00  0.00  0.00 indef.                 I
A77            0.00  0.00  0.00  0.00  1.00 indef.                 IV
A82            0.31  0.69  0.00  0.00  0.00 indef.                 IIa
Al2-0          0.35  0.65  0.00  0.00  0.00 VF                     IIa
BD+30 3639     0.00  0.56  0.08  0.36  0.00 IIbC/IIIB              IIa
Bl3-13         0.00  0.00  0.00  0.00  1.00 VF                     IV
BoBn1          0.00  0.00  0.00  0.00  1.00 IVF                    IV
BV1            1.00  0.00  0.00  0.00  0.00 ID                     I
BV5-1          1.00  0.00  0.00  0.00  0.00 IF                     I
Cn1-5          0.00  0.32  0.65  0.03  0.00 VF                     IIb
Cn2-1          0.00  0.00  0.00  0.90  0.10 VF                     III
Cn3-1          0.00  1.00  0.00  0.00  0.00 IIaC                   IIa
CRL 618        0.00  1.00  0.00  0.00  0.00 indef.                 IIa
DdDm1          0.00  0.00  0.00  0.00  1.00 IVF                    IV
Fg1            0.00  0.56  0.09  0.35  0.00 IIbC/IIIB              IIa
H1-11          0.00  0.01  0.03  0.94  0.02 VF                     III
H1-13          0.11  0.89  0.00  0.00  0.00 VA                     IIa
H1-14          0.00  0.37  0.60  0.03  0.00 VF                     IIb
H1-15          0.00  0.00  0.96  0.01  0.03 VF                     IIb
H1-16          0.00  0.04  0.59  0.25  0.12 (V/IIb/III/IV)D        IIb
H1-17          0.00  0.98  0.02  0.00  0.00 VF                     IIa
H1-18          0.00  1.00  0.00  0.00  0.00 VF                     IIa
H1-19          0.00  1.00  0.00  0.00  0.00 VF                     IIa
H1-20          0.00  0.00  0.00  0.00  1.00 VF                     IV
H1-23          0.82  0.18  0.00  0.00  0.00 VF                     I
H1-27          0.00  1.00  0.00  0.00  0.00 VF                     IIa
H1-29          0.01  0.59  0.28  0.02  0.10 (V/IIa)D               IIa
H1-30          0.00  1.00  0.00  0.00  0.00 VF                     IIa
H1-31          0.00  0.21  0.05  0.73  0.01 VF                     III
H1-32          0.00  0.01  0.11  0.87  0.01 VF                     III
H1-33          0.00  0.98  0.02  0.00  0.00 VF                     IIa
H1-34          0.00  1.00  0.00  0.00  0.00 VF                     IIa
H1-35          0.00  0.00  0.00  0.23  0.77 VF                     IV
H1-39          0.00  0.00  0.00  0.00  1.00 VF                     IV
H1-40          0.00  0.82  0.02  0.15  0.01 VF                     IIa
H1-41          0.00  0.00  0.00  1.00  0.00 VF                     III
H1-42          0.00  0.96  0.04  0.00  0.00 VF                     IIa
H1-43          0.00  0.21  0.00  0.79  0.00 VF                     III
H1-44          0.00  0.22  0.00  0.34  0.44 VD                     IV
H1-45          0.00  0.00  0.00  0.00  1.00 VF                     IV
H1-46          0.00  0.00  0.00  0.46  0.54 VF                     IV
H1-47          0.00  0.13  0.00  0.87  0.00 VF                     III
H1-50          0.00  0.00  0.00  0.99  0.01 VF                     III
H1-51          0.00  0.00  0.00  0.00  1.00 VD                     IV
H1-54          0.00  0.00  0.00  0.03  0.97 VF                     IV
H1-55          0.01  0.42  0.42  0.10  0.05 indef.                 IIa/IIb
H1-56          0.00  0.00  0.00  0.83  0.17 VF                     III
H1-58          0.00  0.00  0.10  0.90  0.00 (V/IIb/III/IV)D        III
