Title: The population of Galactic planetary nebulae: a study based on their 
       distances from the second Gaia release 
Authors: Stanghellini L., Bucciarelli B., Lattanzi M.G., Morbidelli R. 
Table: Catalog of DR2 parallaxes, derived parallax distances, and 
       ancillary parameters for Galactic PNe
================================================================================
Byte-by-byte Description of file: apjab59e4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---       ID      PN identifier
  12- 30 I19    ---       Gaia    Gaia DR2 identifier
  32- 37 F6.4   mas       plx     Gaia DR2 parallax
  39- 44 F6.4   mas     e_plx     Uncertainty in plx
  46- 47 A2     ---       M       Nebular morphology code (1)
  49- 54 F6.2   arcsec    theta   ? Angular radius
  56- 61 F6.2   [mW/m2]   logFHb  ? log H{beta} integrated flux; erg/s/cm^2^
  63- 66 F4.2   [mW/m2] e_logFHb  ? Uncertainty in logFHb
  68- 72 F5.2   ---       calpha  ? Extinction constant
  74- 77 F4.2   ---     e_calpha  ? Uncertainty in calpha
  79- 84 F6.3   [pc]      logRpc  ? log linear nebula radius (2)
  86- 90 F5.3   [pc]    E_logRpc  ? Upper uncertainty in logRpc
  92- 96 F5.3   [pc]    e_logRpc  ? Lower uncertainty in logRpc
  98-102 A5     ---       Refs    References (3)  
--------------------------------------------------------------------------------
Note (1):
    R = Round;
    E = Elliptical;
   BC = Bipolar Core;
    B = Bipolar;
    P = Pointsymmetric.
Note (2): Calculated from the angular radius and parallax.
Note (3): The three number sequence correspond to the references for the
          angular radius, the flux at H{beta}, and the extinction constant,
          respectively. An asterisk (*) marks the missing reference. The
          numbers correspond to the following references:
    1 = This study;
    2 = Stanghellini et al. (2016) [2016ApJ...830...33S];
    3 = Tylenda et al. (2003) [2003A&A...405..627T];
    4 = Cahn et al 1992 [1992A&AS...94..399C];
    5 = Acker et al. (1992) [1992secg.book.....A].
--------------------------------------------------------------------------------
000.1+02.6 4061303281130808448 0.5651 0.2195      4.50                                           5,*,* 
000.3-02.8 4056252880610683520 0.2412 0.0957           -14.00 0.30  2.07 0.10                    *,5,5 
000.6-01.3 4056579534283223680 0.1277 0.1177      1.50 -14.60 0.30  3.79 0.10 -1.245 1.185 0.381 5,5,5 
000.6-02.3 4056324962986093184 0.1436 0.0710           -13.20 0.10  1.86 0.10                    *,5,5 
